# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG001', 'Session': 'S1', 'Block': 'B3', 'date': '2022_Feb_14_1107', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.886837750549475}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG001,B3,1,1,1,0.0003060000,stimulus,
AG,AG001,B3,2,1,2,0.7500951001,stimulus,
AG,AG001,B3,3,1,3,1.5001304997,stimulus,
AG,AG001,B3,3,1,3,2.1829885002,tap,rctrl
AG,AG001,B3,4,1,4,2.2501245998,stimulus,
AG,AG001,B3,4,1,4,2.8869099999,tap,rctrl
AG,AG001,B3,5,1,5,3.0001419000,stimulus,
AG,AG001,B3,5,1,5,3.6069540000,tap,rctrl
AG,AG001,B3,6,1,6,3.7501648003,stimulus,
AG,AG001,B3,6,1,6,4.3589997003,tap,rctrl
AG,AG001,B3,7,1,7,4.5001649000,stimulus,
AG,AG001,B3,7,1,7,5.1270682998,tap,rctrl
AG,AG001,B3,8,1,8,5.2501795003,stimulus,
AG,AG001,B3,8,1,8,5.9910020996,tap,rctrl
AG,AG001,B3,9,1,9,6.0002001999,stimulus,
AG,AG001,B3,9,1,9,6.7110147998,tap,rctrl
AG,AG001,B3,10,1,10,6.7502108999,stimulus,
AG,AG001,B3,10,1,10,7.3989116000,tap,rctrl
AG,AG001,B3,11,1,11,7.5002300004,stimulus,
AG,AG001,B3,11,1,11,8.1029183995,tap,rctrl
AG,AG001,B3,12,1,12,8.2502450002,stimulus,
AG,AG001,B3,12,1,12,8.8070906000,tap,rctrl
AG,AG001,B3,13,1,13,9.0002653003,stimulus,
AG,AG001,B3,13,1,13,9.5590853998,tap,rctrl
AG,AG001,B3,14,1,14,9.7502766997,stimulus,
AG,AG001,B3,14,1,14,10.2949591000,tap,rctrl
AG,AG001,B3,15,1,15,10.5002953000,stimulus,
AG,AG001,B3,15,1,15,11.0630692998,tap,lctrl
AG,AG001,B3,16,1,16,11.2503070002,stimulus,
AG,AG001,B3,16,1,16,11.7670211997,tap,rctrl
AG,AG001,B3,17,1,17,12.0003319997,stimulus,
AG,AG001,B3,17,1,17,12.7430827003,tap,lctrl
AG,AG001,B3,18,1,18,12.7503372002,stimulus,
AG,AG001,B3,18,1,18,13.4149564998,tap,rctrl
AG,AG001,B3,19,1,19,13.5003484003,stimulus,
AG,AG001,B3,19,1,19,14.0871244995,tap,lctrl
