# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG011', 'Session': 'S2', 'Block': 'B1', 'date': '2022_Apr_21_1043', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.940359460397566}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG011,B1,1,1,1,0.0003052000,stimulus,
AG,AG011,B1,1,1,1,0.3151660999,tap,rctrl
AG,AG011,B1,2,1,2,0.7500854000,stimulus,
AG,AG011,B1,2,1,2,0.8590926002,tap,rctrl
AG,AG011,B1,3,1,3,1.5000944999,stimulus,
AG,AG011,B1,3,1,3,1.5470301001,tap,lctrl
AG,AG011,B1,4,1,4,2.2501134002,stimulus,
AG,AG011,B1,4,1,4,2.2690866999,tap,lctrl
AG,AG011,B1,4,1,4,2.9711755998,tap,rctrl
AG,AG011,B1,5,1,5,3.0001325998,stimulus,
AG,AG011,B1,5,1,5,3.6911795000,tap,lctrl
AG,AG011,B1,6,1,6,3.7501348997,stimulus,
AG,AG011,B1,6,1,6,4.4590953002,tap,rctrl
AG,AG011,B1,7,1,7,4.5001502000,stimulus,
AG,AG011,B1,7,1,7,5.2270350000,tap,rctrl
AG,AG011,B1,8,1,8,5.2501658001,stimulus,
AG,AG011,B1,8,1,8,5.9312124001,tap,lctrl
AG,AG011,B1,9,1,9,6.0001845998,stimulus,
AG,AG011,B1,9,1,9,6.7470316999,tap,lctrl
AG,AG011,B1,10,1,10,6.7501948997,stimulus,
AG,AG011,B1,10,1,10,7.4830946000,tap,lctrl
AG,AG011,B1,11,1,11,7.5002072002,stimulus,
AG,AG011,B1,11,1,11,8.1550257001,tap,lctrl
AG,AG011,B1,12,1,12,8.2502497002,stimulus,
AG,AG011,B1,12,1,12,8.9231241001,tap,rctrl
AG,AG011,B1,13,1,13,9.0002354998,stimulus,
AG,AG011,B1,13,1,13,9.6590776001,tap,lctrl
AG,AG011,B1,14,1,14,9.7502572001,stimulus,
AG,AG011,B1,14,1,14,10.3951010997,tap,rctrl
AG,AG011,B1,15,1,15,10.5002616001,stimulus,
AG,AG011,B1,15,1,15,10.6671342999,tap,up
AG,AG011,B1,15,1,15,11.2430377998,tap,lctrl
AG,AG011,B1,16,1,16,11.2502798000,stimulus,
AG,AG011,B1,16,1,16,11.9470160999,tap,rctrl
AG,AG011,B1,17,1,17,12.0002858001,stimulus,
AG,AG011,B1,17,1,17,12.6990272999,tap,rctrl
AG,AG011,B1,18,1,18,12.7502994002,stimulus,
AG,AG011,B1,18,1,18,13.4670231999,tap,lctrl
AG,AG011,B1,19,1,19,13.5003065998,stimulus,
AG,AG011,B1,20,1,20,14.2503148001,stimulus,
AG,AG011,B1,20,1,20,14.2831315999,tap,lctrl
AG,AG011,B1,21,1,21,15.0003335997,stimulus,
AG,AG011,B1,21,1,21,15.0350981997,tap,rctrl
AG,AG011,B1,22,1,22,15.7503809999,stimulus,
AG,AG011,B1,22,1,22,15.7551903999,tap,rctrl
AG,AG011,B1,23,1,23,16.5003673001,stimulus,
AG,AG011,B1,23,1,23,16.5070889997,tap,rctrl
AG,AG011,B1,24,1,24,17.2503768001,stimulus,
AG,AG011,B1,24,1,24,17.2591268001,tap,rctrl
AG,AG011,B1,24,1,24,17.9150995999,tap,lctrl
AG,AG011,B1,25,1,25,18.0003947001,stimulus,
AG,AG011,B1,25,1,25,18.7470188998,tap,lctrl
AG,AG011,B1,26,1,26,18.7504028999,stimulus,
AG,AG011,B1,26,1,26,19.4991160999,tap,rctrl
AG,AG011,B1,27,1,27,19.5004194998,stimulus,
AG,AG011,B1,28,1,28,20.2504583998,stimulus,
AG,AG011,B1,28,1,28,20.2510811999,tap,rctrl
AG,AG011,B1,28,1,28,20.9231079998,tap,lctrl
AG,AG011,B1,29,1,29,21.0004583001,stimulus,
AG,AG011,B1,29,1,29,21.7230393002,tap,rctrl
AG,AG011,B1,30,1,30,21.7504703999,stimulus,
AG,AG011,B1,30,1,30,22.4750418998,tap,lctrl
AG,AG011,B1,31,1,31,22.5004815999,stimulus,
AG,AG011,B1,31,1,31,23.2110098000,tap,rctrl
AG,AG011,B1,32,1,32,23.2504932000,stimulus,
AG,AG011,B1,32,1,32,23.9470948000,tap,rctrl
AG,AG011,B1,33,1,33,24.0005000997,stimulus,
AG,AG011,B1,33,1,33,24.7150651999,tap,lctrl
AG,AG011,B1,34,1,34,24.7505167997,stimulus,
AG,AG011,B1,34,1,34,25.4830127000,tap,lctrl
AG,AG011,B1,35,1,35,25.5005314997,stimulus,
AG,AG011,B1,35,1,35,26.2030989002,tap,rctrl
AG,AG011,B1,36,1,36,26.2505501001,stimulus,
AG,AG011,B1,36,1,36,26.9710104000,tap,rctrl
AG,AG011,B1,37,1,37,27.0005589002,stimulus,
AG,AG011,B1,37,1,37,27.7391230999,tap,lctrl
AG,AG011,B1,38,1,38,27.7505771997,stimulus,
AG,AG011,B1,38,1,38,28.4910265999,tap,rctrl
AG,AG011,B1,39,1,39,28.5005914997,stimulus,
AG,AG011,B1,39,1,39,29.2110929000,tap,lctrl
AG,AG011,B1,40,1,40,29.2506047999,stimulus,
AG,AG011,B1,40,1,40,29.9791192999,tap,lctrl
AG,AG011,B1,41,1,41,30.0006215000,stimulus,
AG,AG011,B1,41,1,41,30.6830532001,tap,lctrl
AG,AG011,B1,42,1,42,30.7506352998,stimulus,
AG,AG011,B1,42,1,42,31.4830812002,tap,rctrl
AG,AG011,B1,43,1,43,31.5006491998,stimulus,
AG,AG011,B1,43,1,43,32.2191555998,tap,lctrl
AG,AG011,B1,44,1,44,32.2506619999,stimulus,
AG,AG011,B1,45,1,45,33.0007116999,stimulus,
AG,AG011,B1,45,1,45,33.0031519998,tap,lctrl
AG,AG011,B1,45,1,45,33.7391528999,tap,lctrl
AG,AG011,B1,46,1,46,33.7507015998,stimulus,
AG,AG011,B1,46,1,46,34.4270953001,tap,lctrl
AG,AG011,B1,47,1,47,34.5007060999,stimulus,
AG,AG011,B1,47,1,47,35.1950857998,tap,rctrl
AG,AG011,B1,48,1,48,35.2507126001,stimulus,
AG,AG011,B1,48,1,48,35.9790339000,tap,rctrl
AG,AG011,B1,49,1,49,36.0007313997,stimulus,
AG,AG011,B1,49,1,49,36.6990135000,tap,lctrl
AG,AG011,B1,50,1,50,36.7507389998,stimulus,
AG,AG011,B1,50,1,50,37.4830459999,tap,rctrl
