# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG012', 'Session': 'S2', 'Block': 'B1', 'date': '2022_Jun_01_1221', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94424001558344},
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG012,B1,1,1,1,0.0003044000,stimulus,
AG,AG012,B1,1,1,1,0.2680610996,tap,rctrl
AG,AG012,B1,2,1,2,0.7500896994,stimulus,
AG,AG012,B1,2,1,2,0.7799436999,tap,rctrl
AG,AG012,B1,3,1,3,1.5001304001,stimulus,
AG,AG012,B1,3,1,3,1.5161405997,tap,lctrl
AG,AG012,B1,4,1,4,2.2501208000,stimulus,
AG,AG012,B1,4,1,4,2.2521220995,tap,lctrl
AG,AG012,B1,4,1,4,2.9239446996,tap,rctrl
AG,AG012,B1,5,1,5,3.0001435000,stimulus,
AG,AG012,B1,6,1,6,3.7501421999,stimulus,
AG,AG012,B1,6,1,6,3.7719470002,tap,lctrl
AG,AG012,B1,7,1,7,4.5001769001,stimulus,
AG,AG012,B1,7,1,7,4.5080453996,tap,rctrl
AG,AG012,B1,7,1,7,5.2279864000,tap,rctrl
AG,AG012,B1,8,1,8,5.2501849998,stimulus,
AG,AG012,B1,8,1,8,5.9639094993,tap,rctrl
AG,AG012,B1,9,1,9,6.0001850994,stimulus,
AG,AG012,B1,9,1,9,6.7159278998,tap,rctrl
AG,AG012,B1,10,1,10,6.7501948001,stimulus,
AG,AG012,B1,10,1,10,7.4999190997,tap,lctrl
AG,AG012,B1,11,1,11,7.5002052998,stimulus,
AG,AG012,B1,12,1,12,8.2502320996,stimulus,
AG,AG012,B1,12,1,12,8.2519378997,tap,rctrl
AG,AG012,B1,12,1,12,8.9878790993,tap,lctrl
AG,AG012,B1,13,1,13,9.0002448997,stimulus,
AG,AG012,B1,14,1,14,9.7502643997,stimulus,
AG,AG012,B1,14,1,14,9.7559626997,tap,lctrl
AG,AG012,B1,14,1,14,10.4759375993,tap,lctrl
AG,AG012,B1,15,1,15,10.5002697995,stimulus,
AG,AG012,B1,15,1,15,11.2440245999,tap,rctrl
AG,AG012,B1,16,1,16,11.2503031995,stimulus,
AG,AG012,B1,16,1,16,11.9959880002,tap,lctrl
AG,AG012,B1,17,1,17,12.0003071995,stimulus,
AG,AG012,B1,18,1,18,12.7503164997,stimulus,
AG,AG012,B1,18,1,18,12.7798637999,tap,lctrl
AG,AG012,B1,18,1,18,13.4518745001,tap,lctrl
AG,AG012,B1,19,1,19,13.5003231000,stimulus,
AG,AG012,B1,19,1,19,14.1558806002,tap,rctrl
AG,AG012,B1,20,1,20,14.2503324999,stimulus,
AG,AG012,B1,20,1,20,14.9240108998,tap,lctrl
AG,AG012,B1,21,1,21,15.0003586002,stimulus,
AG,AG012,B1,21,1,21,15.6759714996,tap,lctrl
AG,AG012,B1,22,1,22,15.7503586998,stimulus,
AG,AG012,B1,22,1,22,16.4439816000,tap,lctrl
AG,AG012,B1,23,1,23,16.5003739996,stimulus,
AG,AG012,B1,24,1,24,17.2503872998,stimulus,
AG,AG012,B1,24,1,24,17.2599200998,tap,rctrl
AG,AG012,B1,24,1,24,17.9479930997,tap,rctrl
AG,AG012,B1,25,1,25,18.0004054001,stimulus,
AG,AG012,B1,25,1,25,18.7159072999,tap,rctrl
AG,AG012,B1,26,1,26,18.7504183995,stimulus,
AG,AG012,B1,26,1,26,19.4679601993,tap,rctrl
AG,AG012,B1,27,1,27,19.5004341993,stimulus,
AG,AG012,B1,27,1,27,20.1879321998,tap,rctrl
AG,AG012,B1,28,1,28,20.2504660999,stimulus,
AG,AG012,B1,28,1,28,20.9239619002,tap,lctrl
AG,AG012,B1,29,1,29,21.0004728995,stimulus,
AG,AG012,B1,29,1,29,21.6599335000,tap,rctrl
AG,AG012,B1,30,1,30,21.7504791999,stimulus,
AG,AG012,B1,30,1,30,22.4279669002,tap,lctrl
AG,AG012,B1,31,1,31,22.5004861001,stimulus,
AG,AG012,B1,31,1,31,23.1479290994,tap,lctrl
AG,AG012,B1,32,1,32,23.2505065994,stimulus,
AG,AG012,B1,32,1,32,23.9319322994,tap,lctrl
AG,AG012,B1,33,1,33,24.0005278997,stimulus,
AG,AG012,B1,33,1,33,24.7160291001,tap,lctrl
AG,AG012,B1,34,1,34,24.7505478999,stimulus,
AG,AG012,B1,34,1,34,25.4519189000,tap,rctrl
AG,AG012,B1,35,1,35,25.5005574999,stimulus,
AG,AG012,B1,36,1,36,26.2505615996,stimulus,
AG,AG012,B1,36,1,36,26.2520132996,tap,lctrl
AG,AG012,B1,37,1,37,27.0005796002,stimulus,
AG,AG012,B1,37,1,37,27.0679287994,tap,rctrl
AG,AG012,B1,37,1,37,27.7079227995,tap,rctrl
AG,AG012,B1,38,1,38,27.7505847001,stimulus,
AG,AG012,B1,38,1,38,28.4599110000,tap,lctrl
