# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG013', 'Session': 'S1', 'Block': 'B3', 'date': '2022_May_10_1336', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.93863476317573}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG013,B3,1,1,1,0.0003049998,stimulus,
AG,AG013,B3,1,1,1,0.1823589997,tap,rctrl
AG,AG013,B3,1,1,1,0.6944252998,tap,lctrl
AG,AG013,B3,2,1,2,0.7500898996,stimulus,
AG,AG013,B3,2,1,2,1.4303591996,tap,lctrl
AG,AG013,B3,3,1,3,1.5001417994,stimulus,
AG,AG013,B3,3,1,3,2.1664715996,tap,rctrl
AG,AG013,B3,4,1,4,2.2501780000,stimulus,
AG,AG013,B3,4,1,4,2.9184156992,tap,rctrl
AG,AG013,B3,5,1,5,3.0001246994,stimulus,
AG,AG013,B3,5,1,5,3.6703915000,tap,rctrl
AG,AG013,B3,6,1,6,3.7501470996,stimulus,
AG,AG013,B3,6,1,6,4.4063262995,tap,lctrl
AG,AG013,B3,7,1,7,4.5001633996,stimulus,
AG,AG013,B3,7,1,7,5.1263501998,tap,lctrl
AG,AG013,B3,8,1,8,5.2501666993,stimulus,
AG,AG013,B3,8,1,8,5.8624594994,tap,rctrl
AG,AG013,B3,9,1,9,6.0001857998,stimulus,
AG,AG013,B3,9,1,9,6.6303927992,tap,rctrl
AG,AG013,B3,10,1,10,6.7501978995,stimulus,
AG,AG013,B3,10,1,10,7.3823858993,tap,lctrl
AG,AG013,B3,11,1,11,7.5002094992,stimulus,
AG,AG013,B3,11,1,11,8.1503870999,tap,lctrl
AG,AG013,B3,12,1,12,8.2502243994,stimulus,
AG,AG013,B3,12,1,12,8.9503574995,tap,rctrl
AG,AG013,B3,13,1,13,9.0002491996,stimulus,
AG,AG013,B3,13,1,13,9.6703837998,tap,rctrl
AG,AG013,B3,14,1,14,9.7502519991,stimulus,
AG,AG013,B3,14,1,14,10.4064264996,tap,rctrl
AG,AG013,B3,15,1,15,10.5002860995,stimulus,
AG,AG013,B3,15,1,15,11.1743625998,tap,lctrl
AG,AG013,B3,16,1,16,11.2502764994,stimulus,
AG,AG013,B3,16,1,16,11.8784419997,tap,rctrl
AG,AG013,B3,17,1,17,12.0002958998,stimulus,
AG,AG013,B3,17,1,17,12.6304460000,tap,rctrl
AG,AG013,B3,18,1,18,12.7503142999,stimulus,
AG,AG013,B3,18,1,18,13.3983642999,tap,rctrl
AG,AG013,B3,19,1,19,13.5003351998,stimulus,
AG,AG013,B3,19,1,19,14.1344415992,tap,rctrl
AG,AG013,B3,20,1,20,14.2503431998,stimulus,
AG,AG013,B3,20,1,20,14.9023072999,tap,rctrl
AG,AG013,B3,21,1,21,15.0003739996,stimulus,
AG,AG013,B3,21,1,21,15.6223085998,tap,lctrl
AG,AG013,B3,22,1,22,15.7504102997,stimulus,
AG,AG013,B3,22,1,22,16.3583898991,tap,lctrl
AG,AG013,B3,23,1,23,16.5004028995,stimulus,
AG,AG013,B3,23,1,23,17.1423569992,tap,rctrl
AG,AG013,B3,24,1,24,17.2504137997,stimulus,
AG,AG013,B3,24,1,24,17.8785237996,tap,lctrl
AG,AG013,B3,25,1,25,18.0004322995,stimulus,
AG,AG013,B3,25,1,25,18.5984709999,tap,lctrl
AG,AG013,B3,26,1,26,18.7504426995,stimulus,
AG,AG013,B3,26,1,26,19.3983609993,tap,lctrl
AG,AG013,B3,27,1,27,19.5004607998,stimulus,
AG,AG013,B3,27,1,27,20.1183666997,tap,rctrl
AG,AG013,B3,28,1,28,20.2504644999,stimulus,
AG,AG013,B3,28,1,28,20.8544202996,tap,rctrl
AG,AG013,B3,29,1,29,21.0004823999,stimulus,
AG,AG013,B3,29,1,29,21.5903091999,tap,lctrl
AG,AG013,B3,30,1,30,21.7504856000,stimulus,
AG,AG013,B3,30,1,30,22.3424168993,tap,rctrl
AG,AG013,B3,31,1,31,22.5005164994,stimulus,
AG,AG013,B3,31,1,31,23.1103325998,tap,rctrl
AG,AG013,B3,32,1,32,23.2505071992,stimulus,
AG,AG013,B3,32,1,32,23.8943383992,tap,rctrl
AG,AG013,B3,33,1,33,24.0005269991,stimulus,
AG,AG013,B3,33,1,33,24.6783103999,tap,rctrl
AG,AG013,B3,34,1,34,24.7505386993,stimulus,
AG,AG013,B3,34,1,34,25.4303841991,tap,rctrl
AG,AG013,B3,35,1,35,25.5005664993,stimulus,
AG,AG013,B3,35,1,35,25.6063681999,tap,lctrl
AG,AG013,B3,35,1,35,26.2303367993,tap,lctrl
AG,AG013,B3,36,1,36,26.2505596997,stimulus,
AG,AG013,B3,36,1,36,26.9983556997,tap,lctrl
AG,AG013,B3,37,1,37,27.0005652998,stimulus,
AG,AG013,B3,38,1,38,27.7505909996,stimulus,
AG,AG013,B3,38,1,38,27.7663455000,tap,rctrl
AG,AG013,B3,38,1,38,28.4383114995,tap,rctrl
AG,AG013,B3,39,1,39,28.5005934993,stimulus,
AG,AG013,B3,40,1,40,29.2506168000,stimulus,
AG,AG013,B3,40,1,40,29.2543875994,tap,rctrl
AG,AG013,B3,40,1,40,29.9423028994,tap,lctrl
AG,AG013,B3,41,1,41,30.0006204993,stimulus,
AG,AG013,B3,41,1,41,30.6624089992,tap,rctrl
AG,AG013,B3,42,1,42,30.7506355997,stimulus,
AG,AG013,B3,42,1,42,31.3824098995,tap,rctrl
AG,AG013,B3,43,1,43,31.5006446000,stimulus,
AG,AG013,B3,43,1,43,32.1344471993,tap,lctrl
AG,AG013,B3,44,1,44,32.2506490992,stimulus,
AG,AG013,B3,44,1,44,32.9024349991,tap,lctrl
AG,AG013,B3,45,1,45,33.0006597992,stimulus,
AG,AG013,B3,45,1,45,33.6383682992,tap,lctrl
AG,AG013,B3,46,1,46,33.7506824993,stimulus,
AG,AG013,B3,46,1,46,34.4063370991,tap,rctrl
AG,AG013,B3,47,1,47,34.5006893994,stimulus,
AG,AG013,B3,47,1,47,35.1263995999,tap,rctrl
AG,AG013,B3,48,1,48,35.2506933995,stimulus,
AG,AG013,B3,48,1,48,35.8783481997,tap,lctrl
AG,AG013,B3,49,1,49,36.0007129991,stimulus,
AG,AG013,B3,49,1,49,36.6462864000,tap,rctrl
AG,AG013,B3,50,1,50,36.7507221997,stimulus,
AG,AG013,B3,50,1,50,37.4623646997,tap,rctrl
AG,AG013,B3,51,1,51,37.5007362999,stimulus,
AG,AG013,B3,51,1,51,38.1663242998,tap,rctrl
AG,AG013,B3,52,1,52,38.2507476993,stimulus,
AG,AG013,B3,52,1,52,38.8703824999,tap,rctrl
AG,AG013,B3,53,1,53,39.0007718997,stimulus,
AG,AG013,B3,53,1,53,39.6223744992,tap,lctrl
AG,AG013,B3,54,1,54,39.7507775994,stimulus,
AG,AG013,B3,54,1,54,40.3423125995,tap,rctrl
AG,AG013,B3,55,1,55,40.5007962994,stimulus,
AG,AG013,B3,55,1,55,41.0944077000,tap,lctrl
AG,AG013,B3,56,1,56,41.2508104993,stimulus,
AG,AG013,B3,56,1,56,41.8783098999,tap,lctrl
AG,AG013,B3,57,1,57,42.0008302992,stimulus,
AG,AG013,B3,57,1,57,42.6463782992,tap,lctrl
AG,AG013,B3,58,1,58,42.7508424995,stimulus,
AG,AG013,B3,58,1,58,43.2543859994,tap,rctrl
AG,AG013,B3,59,1,59,43.5008536996,stimulus,
AG,AG013,B3,59,1,59,44.1504947999,tap,rctrl
AG,AG013,B3,60,1,60,44.2508858992,stimulus,
AG,AG013,B3,60,1,60,44.8863697993,tap,lctrl
AG,AG013,B3,61,1,61,45.0008958997,stimulus,
AG,AG013,B3,61,1,61,45.6384365000,tap,rctrl
AG,AG013,B3,62,1,62,45.7509037992,stimulus,
AG,AG013,B3,62,1,62,46.4063777998,tap,lctrl
AG,AG013,B3,63,1,63,46.5009137997,stimulus,
AG,AG013,B3,63,1,63,47.1263357997,tap,lctrl
AG,AG013,B3,64,1,64,47.2509199996,stimulus,
AG,AG013,B3,64,1,64,47.8303643996,tap,lctrl
AG,AG013,B3,65,1,65,48.0009356998,stimulus,
AG,AG013,B3,65,1,65,48.6303522997,tap,rctrl
AG,AG013,B3,66,1,66,48.7509562997,stimulus,
AG,AG013,B3,66,1,66,49.3823132999,tap,rctrl
AG,AG013,B3,67,1,67,49.5009742994,stimulus,
AG,AG013,B3,67,1,67,50.1983415997,tap,rctrl
AG,AG013,B3,68,1,68,50.2509832000,stimulus,
AG,AG013,B3,69,1,69,51.0009985995,stimulus,
AG,AG013,B3,69,1,69,51.0303814998,tap,lctrl
AG,AG013,B3,69,1,69,51.7343794992,tap,lctrl
AG,AG013,B3,70,1,70,51.7510189991,stimulus,
AG,AG013,B3,70,1,70,52.4703144999,tap,rctrl
AG,AG013,B3,71,1,71,52.5010356000,stimulus,
AG,AG013,B3,72,1,72,53.2510370994,stimulus,
AG,AG013,B3,72,1,72,53.2543174997,tap,lctrl
AG,AG013,B3,72,1,72,53.8942705998,tap,lctrl
AG,AG013,B3,73,1,73,54.0010532998,stimulus,
AG,AG013,B3,73,1,73,54.6623849999,tap,rctrl
AG,AG013,B3,74,1,73,60.2978880992,probe1,1
AG,AG013,B3,74,1,73,69.8547271993,probe2,3
AG,AG013,B3,74,1,73,74.7259794995,probe3,1
AG,AG013,B3,75,2,1,75.4939704994,stimulus,
AG,AG013,B3,75,2,1,75.6544320993,tap,rctrl
AG,AG013,B3,75,2,1,76.2303056996,tap,rctrl
AG,AG013,B3,76,2,2,76.2437800998,stimulus,
AG,AG013,B3,76,2,2,76.9343156992,tap,lctrl
AG,AG013,B3,77,2,3,76.9937876994,stimulus,
AG,AG013,B3,77,2,3,77.6863708999,tap,lctrl
AG,AG013,B3,78,2,4,77.7437987998,stimulus,
AG,AG013,B3,78,2,4,78.4223210998,tap,rctrl
AG,AG013,B3,79,2,5,78.4938176991,stimulus,
AG,AG013,B3,79,2,5,79.1743032997,tap,rctrl
AG,AG013,B3,80,2,6,79.2438316997,stimulus,
AG,AG013,B3,80,2,6,79.8783314992,tap,rctrl
AG,AG013,B3,81,2,7,79.9938431997,stimulus,
