# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG014', 'Session': 'S2', 'Block': 'B0', 'date': '2022_May_25_1200', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.941580978814756}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG014,B0,1,1,1,0.0002799993,stimulus,
AG,AG014,B0,1,1,1,0.5682290997,tap,rctrl
AG,AG014,B0,2,1,2,0.7500849999,stimulus,
AG,AG014,B0,2,1,2,0.9040931994,tap,rctrl
AG,AG014,B0,3,1,3,1.5001026997,stimulus,
AG,AG014,B0,3,1,3,1.5441839993,tap,rctrl
AG,AG014,B0,4,1,4,2.2501227995,stimulus,
AG,AG014,B0,4,1,4,2.4082195992,tap,rctrl
AG,AG014,B0,5,1,5,3.0001258999,stimulus,
AG,AG014,B0,5,1,5,3.1761503993,tap,rctrl
AG,AG014,B0,6,1,6,3.7501311991,stimulus,
AG,AG014,B0,6,1,6,3.9921859000,tap,lctrl
AG,AG014,B0,7,1,7,4.5001405999,stimulus,
AG,AG014,B0,7,1,7,4.7122097993,tap,lctrl
AG,AG014,B0,8,1,8,5.2501519993,stimulus,
AG,AG014,B0,8,1,8,5.4482009998,tap,lctrl
AG,AG014,B0,9,1,9,6.0001647994,stimulus,
AG,AG014,B0,9,1,9,6.1841019997,tap,rctrl
AG,AG014,B0,10,1,10,6.7501700995,stimulus,
AG,AG014,B0,10,1,10,6.9361216994,tap,lctrl
AG,AG014,B0,11,1,11,7.5001968993,stimulus,
AG,AG014,B0,11,1,11,7.7041694997,tap,rctrl
AG,AG014,B0,12,1,12,8.2502001999,stimulus,
AG,AG014,B0,12,1,12,8.4401521999,tap,lctrl
AG,AG014,B0,13,1,13,9.0002126992,stimulus,
AG,AG014,B0,13,1,13,9.1921148999,tap,rctrl
AG,AG014,B0,14,1,14,9.7502267994,stimulus,
AG,AG014,B0,14,1,14,9.9281359995,tap,lctrl
AG,AG014,B0,15,1,15,10.5002318993,stimulus,
AG,AG014,B0,15,1,15,10.6641388992,tap,lctrl
AG,AG014,B0,16,1,16,11.2502497993,stimulus,
AG,AG014,B0,16,1,16,11.4002297996,tap,rctrl
AG,AG014,B0,17,1,17,12.0002775993,stimulus,
AG,AG014,B0,17,1,17,12.1521306997,tap,rctrl
AG,AG014,B0,18,1,18,12.7502874993,stimulus,
AG,AG014,B0,18,1,18,12.9362486992,tap,lctrl
AG,AG014,B0,19,1,19,13.5003023995,stimulus,
AG,AG014,B0,19,1,19,13.6722022993,tap,rctrl
AG,AG014,B0,20,1,20,14.2503012996,stimulus,
AG,AG014,B0,20,1,20,14.4080892997,tap,lctrl
AG,AG014,B0,21,1,21,15.0003202995,stimulus,
AG,AG014,B0,21,1,21,15.1921708994,tap,rctrl
AG,AG014,B0,22,1,22,15.7503324999,stimulus,
AG,AG014,B0,22,1,22,15.9121424994,tap,rctrl
AG,AG014,B0,23,1,23,16.5003451994,stimulus,
AG,AG014,B0,23,1,23,16.6641823994,tap,lctrl
AG,AG014,B0,24,1,24,17.2503739996,stimulus,
AG,AG014,B0,24,1,24,17.4161178991,tap,lctrl
AG,AG014,B0,25,1,25,18.0003856998,stimulus,
AG,AG014,B0,25,1,25,18.0720903995,tap,lctrl
AG,AG014,B0,26,1,26,18.7503926000,stimulus,
AG,AG014,B0,26,1,26,18.8881035997,tap,rctrl
AG,AG014,B0,27,1,27,19.5004155999,stimulus,
AG,AG014,B0,27,1,27,19.6402249997,tap,rctrl
AG,AG014,B0,28,1,28,20.2504268996,stimulus,
AG,AG014,B0,28,1,28,20.3601307999,tap,rctrl
AG,AG014,B0,29,1,29,21.0004388997,stimulus,
AG,AG014,B0,29,1,29,21.1761323996,tap,lctrl
AG,AG014,B0,30,1,30,21.7504598992,stimulus,
AG,AG014,B0,30,1,30,21.9281611992,tap,lctrl
AG,AG014,B0,31,1,31,22.5004749997,stimulus,
AG,AG014,B0,31,1,31,22.6641208995,tap,lctrl
AG,AG014,B0,31,1,31,22.7281064996,tap,lctrl
AG,AG014,B0,32,1,32,23.2504867995,stimulus,
AG,AG014,B0,32,1,32,23.3521625996,tap,rctrl
AG,AG014,B0,33,1,33,24.0004914999,stimulus,
AG,AG014,B0,33,1,33,24.1681627994,tap,rctrl
AG,AG014,B0,34,1,34,24.7505088998,stimulus,
AG,AG014,B0,34,1,34,24.9041479994,tap,rctrl
AG,AG014,B0,35,1,35,25.5005174000,stimulus,
