# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG015', 'Session': 'S1', 'Block': 'B0', 'date': '2022_Jun_03_1004', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94459910067175}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG015,B0,1,1,1,0.0002812995,stimulus,
AG,AG015,B0,2,1,2,0.7500884999,stimulus,
AG,AG015,B0,2,1,2,1.1427539997,tap,rctrl
AG,AG015,B0,3,1,3,1.5001010997,stimulus,
AG,AG015,B0,3,1,3,1.9267166993,tap,rctrl
AG,AG015,B0,4,1,4,2.2501123995,stimulus,
AG,AG015,B0,4,1,4,2.8548358995,tap,rctrl
AG,AG015,B0,5,1,5,3.0001210999,stimulus,
AG,AG015,B0,5,1,5,3.7347304998,tap,rctrl
AG,AG015,B0,6,1,6,3.7501361994,stimulus,
AG,AG015,B0,7,1,7,4.5001438996,stimulus,
AG,AG015,B0,7,1,7,4.7107444992,tap,rctrl
AG,AG015,B0,8,1,8,5.2501791995,stimulus,
AG,AG015,B0,8,1,8,5.4628213998,tap,lctrl
AG,AG015,B0,9,1,9,6.0001742998,stimulus,
AG,AG015,B0,9,1,9,6.2947654994,tap,rctrl
AG,AG015,B0,10,1,10,6.7501801997,stimulus,
AG,AG015,B0,10,1,10,6.9348271992,tap,rctrl
AG,AG015,B0,11,1,11,7.5002147993,stimulus,
AG,AG015,B0,11,1,11,7.5268918993,tap,rctrl
AG,AG015,B0,11,1,11,8.0227268999,tap,lctrl
AG,AG015,B0,12,1,12,8.2502168994,stimulus,
AG,AG015,B0,12,1,12,8.8707724996,tap,rctrl
AG,AG015,B0,13,1,13,9.0002207998,stimulus,
AG,AG015,B0,13,1,13,9.6067116000,tap,rctrl
AG,AG015,B0,14,1,14,9.7502405997,stimulus,
AG,AG015,B0,14,1,14,10.3108127993,tap,rctrl
AG,AG015,B0,15,1,15,10.5002697995,stimulus,
AG,AG015,B0,15,1,15,10.9987119995,tap,lctrl
AG,AG015,B0,16,1,16,11.2502655992,stimulus,
AG,AG015,B0,16,1,16,11.7347168997,tap,rctrl
AG,AG015,B0,17,1,17,12.0002746992,stimulus,
AG,AG015,B0,17,1,17,12.4067882998,tap,rctrl
AG,AG015,B0,18,1,18,12.7502831994,stimulus,
AG,AG015,B0,18,1,18,13.0627910998,tap,rctrl
AG,AG015,B0,19,1,19,13.5003002994,stimulus,
AG,AG015,B0,19,1,19,13.7026972994,tap,lctrl
AG,AG015,B0,20,1,20,14.2503180997,stimulus,
AG,AG015,B0,20,1,20,14.3907502992,tap,rctrl
AG,AG015,B0,21,1,21,15.0003283992,stimulus,
AG,AG015,B0,21,1,21,15.0147922998,tap,rctrl
AG,AG015,B0,21,1,21,15.6389822997,tap,rctrl
AG,AG015,B0,22,1,22,15.7503691996,stimulus,
AG,AG015,B0,22,1,22,16.3587968992,tap,lctrl
AG,AG015,B0,23,1,23,16.5003675995,stimulus,
AG,AG015,B0,23,1,23,17.0467194999,tap,rctrl
AG,AG015,B0,24,1,24,17.2503799992,stimulus,
AG,AG015,B0,24,1,24,17.7348523000,tap,rctrl
AG,AG015,B0,25,1,25,18.0004012994,stimulus,
AG,AG015,B0,25,1,25,18.4228184996,tap,rctrl
AG,AG015,B0,26,1,26,18.7503993995,stimulus,
AG,AG015,B0,26,1,26,19.1747134998,tap,rctrl
AG,AG015,B0,27,1,27,19.5004059998,stimulus,
AG,AG015,B0,27,1,27,19.9427752998,tap,lctrl
AG,AG015,B0,28,1,28,20.2504308000,stimulus,
AG,AG015,B0,28,1,28,20.9028818998,tap,rctrl
AG,AG015,B0,29,1,29,21.0004319996,stimulus,
AG,AG015,B0,30,1,30,21.7504418995,stimulus,
AG,AG015,B0,30,1,30,21.7667952999,tap,rctrl
AG,AG015,B0,31,1,31,22.5004605995,stimulus,
AG,AG015,B0,31,1,31,22.5027476996,tap,rctrl
AG,AG015,B0,31,1,31,23.1906979000,tap,lctrl
AG,AG015,B0,32,1,32,23.2504727999,stimulus,
AG,AG015,B0,32,1,32,23.8467234997,tap,rctrl
AG,AG015,B0,33,1,33,24.0004872996,stimulus,
AG,AG015,B0,33,1,33,24.5508464994,tap,rctrl
AG,AG015,B0,34,1,34,24.7504980993,stimulus,
