# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG027', 'Session': 'S1', 'Block': 'B2', 'date': '2022_Sep_30_1519', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.95498579590835}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG027,B2,1,1,1,0.0002788000,stimulus,
AG,AG027,B2,1,1,1,0.1924882000,tap,rctrl
AG,AG027,B2,2,1,2,0.7500777000,stimulus,
AG,AG027,B2,2,1,2,0.7523776000,tap,rctrl
AG,AG027,B2,2,1,2,1.4885559000,tap,rctrl
AG,AG027,B2,3,1,3,1.5000934000,stimulus,
AG,AG027,B2,3,1,3,2.2404294000,tap,rctrl
AG,AG027,B2,4,1,4,2.2500990000,stimulus,
AG,AG027,B2,5,1,5,3.0001096000,stimulus,
AG,AG027,B2,5,1,5,3.0243724000,tap,rctrl
AG,AG027,B2,5,1,5,3.7284260000,tap,rctrl
AG,AG027,B2,6,1,6,3.7501338000,stimulus,
AG,AG027,B2,6,1,6,4.4964834000,tap,rctrl
AG,AG027,B2,7,1,7,4.5001346000,stimulus,
AG,AG027,B2,7,1,7,5.2003542000,tap,lctrl
AG,AG027,B2,8,1,8,5.2501455000,stimulus,
AG,AG027,B2,8,1,8,5.9365082000,tap,lctrl
AG,AG027,B2,9,1,9,6.0001570000,stimulus,
AG,AG027,B2,9,1,9,6.7363923000,tap,lctrl
AG,AG027,B2,10,1,10,6.7501691000,stimulus,
AG,AG027,B2,10,1,10,7.4404736000,tap,rctrl
AG,AG027,B2,11,1,11,7.5001900000,stimulus,
AG,AG027,B2,11,1,11,8.1923648000,tap,lctrl
AG,AG027,B2,12,1,12,8.2502064000,stimulus,
AG,AG027,B2,12,1,12,8.9443908000,tap,rctrl
AG,AG027,B2,13,1,13,9.0002216000,stimulus,
AG,AG027,B2,13,1,13,9.6804443000,tap,lctrl
AG,AG027,B2,14,1,14,9.7502471000,stimulus,
AG,AG027,B2,14,1,14,10.4323605000,tap,rctrl
AG,AG027,B2,15,1,15,10.5002433000,stimulus,
AG,AG027,B2,15,1,15,11.2003909000,tap,rctrl
AG,AG027,B2,16,1,16,11.2502554000,stimulus,
AG,AG027,B2,16,1,16,11.9843936000,tap,rctrl
AG,AG027,B2,17,1,17,12.0002720000,stimulus,
AG,AG027,B2,17,1,17,12.6884136000,tap,lctrl
AG,AG027,B2,18,1,18,12.7502872000,stimulus,
AG,AG027,B2,18,1,18,13.4563704000,tap,lctrl
AG,AG027,B2,19,1,19,13.5003019000,stimulus,
AG,AG027,B2,20,1,20,14.2503344000,stimulus,
AG,AG027,B2,20,1,20,14.2724071000,tap,lctrl
AG,AG027,B2,21,1,21,15.0003335000,stimulus,
AG,AG027,B2,21,1,21,15.0084161000,tap,lctrl
AG,AG027,B2,21,1,21,15.6963959000,tap,lctrl
AG,AG027,B2,22,1,22,15.7503429000,stimulus,
AG,AG027,B2,23,1,23,16.5003538000,stimulus,
AG,AG027,B2,23,1,23,16.5123624000,tap,lctrl
AG,AG027,B2,23,1,23,17.2484100000,tap,rctrl
AG,AG027,B2,24,1,24,17.2503727000,stimulus,
AG,AG027,B2,24,1,24,18.0003923000,tap,rctrl
AG,AG027,B2,25,1,25,18.0005249000,stimulus,
AG,AG027,B2,26,1,26,18.7505491000,stimulus,
AG,AG027,B2,26,1,26,18.7843604000,tap,rctrl
AG,AG027,B2,26,1,26,19.4084656000,tap,lctrl
AG,AG027,B2,27,1,27,19.5005707000,stimulus,
AG,AG027,B2,27,1,27,20.1284254000,tap,rctrl
AG,AG027,B2,28,1,28,20.2505871000,stimulus,
AG,AG027,B2,28,1,28,20.9283492000,tap,lctrl
AG,AG027,B2,29,1,29,21.0005845000,stimulus,
AG,AG027,B2,29,1,29,21.7123762000,tap,lctrl
AG,AG027,B2,30,1,30,21.7506034000,stimulus,
AG,AG027,B2,31,1,31,22.5006500000,stimulus,
AG,AG027,B2,31,1,31,22.5124632000,tap,lctrl
AG,AG027,B2,31,1,31,23.2324031000,tap,lctrl
AG,AG027,B2,32,1,32,23.2506487000,stimulus,
AG,AG027,B2,33,1,33,24.0006507000,stimulus,
AG,AG027,B2,33,1,33,24.0323565000,tap,lctrl
AG,AG027,B2,33,1,33,24.6884371000,tap,rctrl
AG,AG027,B2,34,1,34,24.7506703000,stimulus,
AG,AG027,B2,34,1,34,25.4723844000,tap,rctrl
AG,AG027,B2,35,1,35,25.5006831000,stimulus,
AG,AG027,B2,36,1,36,26.2506990000,stimulus,
AG,AG027,B2,36,1,36,26.2564186000,tap,rctrl
AG,AG027,B2,36,1,36,26.9283279000,tap,rctrl
AG,AG027,B2,37,1,37,27.0007201000,stimulus,
AG,AG027,B2,37,1,37,27.6804040000,tap,rctrl
AG,AG027,B2,38,1,38,27.7507285000,stimulus,
AG,AG027,B2,38,1,38,28.4643475000,tap,rctrl
AG,AG027,B2,39,1,39,28.5007468000,stimulus,
AG,AG027,B2,39,1,39,29.2003998000,tap,lctrl
AG,AG027,B2,40,1,40,29.2507666000,stimulus,
AG,AG027,B2,40,1,40,29.9683901000,tap,lctrl
AG,AG027,B2,41,1,41,30.0007690000,stimulus,
AG,AG027,B2,41,1,41,30.7364001000,tap,rctrl
AG,AG027,B2,42,1,42,30.7507826000,stimulus,
AG,AG027,B2,42,1,42,31.4405482000,tap,rctrl
AG,AG027,B2,43,1,43,31.5007916000,stimulus,
AG,AG027,B2,43,1,43,32.2084752000,tap,rctrl
AG,AG027,B2,44,1,44,32.2508016000,stimulus,
AG,AG027,B2,44,1,44,32.9763376000,tap,rctrl
AG,AG027,B2,45,1,45,33.0008160000,stimulus,
AG,AG027,B2,45,1,45,33.7284396000,tap,rctrl
AG,AG027,B2,46,1,46,33.7508299000,stimulus,
AG,AG027,B2,46,1,46,34.4643507000,tap,rctrl
