# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG027', 'Session': 'S2', 'Block': 'B1', 'date': '2022_Oct_23_1114', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.957142671037985}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG027,B1,1,1,1,0.0001174998,stimulus,
AG,AG027,B1,1,1,1,0.3574160002,tap,lctrl
AG,AG027,B1,2,1,2,0.7501002001,stimulus,
AG,AG027,B1,2,1,2,0.7892928002,tap,rctrl
AG,AG027,B1,2,1,2,1.4293049001,tap,lctrl
AG,AG027,B1,3,1,3,1.5001085000,stimulus,
AG,AG027,B1,3,1,3,2.1974032000,tap,rctrl
AG,AG027,B1,4,1,4,2.2501257001,stimulus,
AG,AG027,B1,4,1,4,2.9813453001,tap,rctrl
AG,AG027,B1,5,1,5,3.0001367000,stimulus,
AG,AG027,B1,6,1,6,3.7501625000,stimulus,
AG,AG027,B1,6,1,6,3.7814024002,tap,rctrl
AG,AG027,B1,6,1,6,4.4693564000,tap,rctrl
AG,AG027,B1,7,1,7,4.5001679999,stimulus,
AG,AG027,B1,7,1,7,5.1894334001,tap,rctrl
AG,AG027,B1,8,1,8,5.2501928001,stimulus,
AG,AG027,B1,8,1,8,5.9573829002,tap,rctrl
AG,AG027,B1,9,1,9,6.0001977999,stimulus,
AG,AG027,B1,9,1,9,6.7093692003,tap,lctrl
AG,AG027,B1,10,1,10,6.7502065003,stimulus,
AG,AG027,B1,10,1,10,7.4614010002,tap,lctrl
AG,AG027,B1,11,1,11,7.5002191002,stimulus,
AG,AG027,B1,11,1,11,8.1653275001,tap,rctrl
AG,AG027,B1,12,1,12,8.2502466999,stimulus,
AG,AG027,B1,12,1,12,8.9013713002,tap,rctrl
AG,AG027,B1,13,1,13,9.0002593002,stimulus,
AG,AG027,B1,13,1,13,9.6373425000,tap,rctrl
AG,AG027,B1,14,1,14,9.7502772002,stimulus,
AG,AG027,B1,14,1,14,10.4054196998,tap,rctrl
AG,AG027,B1,15,1,15,10.5002986002,stimulus,
AG,AG027,B1,15,1,15,11.1733472999,tap,rctrl
AG,AG027,B1,16,1,16,11.2503082003,stimulus,
AG,AG027,B1,16,1,16,11.9574714000,tap,rctrl
AG,AG027,B1,17,1,17,12.0003231000,stimulus,
AG,AG027,B1,17,1,17,12.6614554999,tap,rctrl
AG,AG027,B1,18,1,18,12.7503431002,stimulus,
AG,AG027,B1,19,1,19,13.5003590002,stimulus,
AG,AG027,B1,19,1,19,13.5733874002,tap,lctrl
AG,AG027,B1,20,1,20,14.2503726003,stimulus,
AG,AG027,B1,20,1,20,14.2613722002,tap,lctrl
AG,AG027,B1,20,1,20,14.9013018003,tap,rctrl
AG,AG027,B1,21,1,21,15.0003829002,stimulus,
AG,AG027,B1,21,1,21,15.7173291002,tap,rctrl
AG,AG027,B1,22,1,22,15.7503851000,stimulus,
AG,AG027,B1,22,1,22,15.7972912001,tap,lctrl
AG,AG027,B1,23,1,23,16.5004052003,stimulus,
AG,AG027,B1,23,1,23,16.5013573002,tap,rctrl
AG,AG027,B1,23,1,23,17.1893929001,tap,lctrl
AG,AG027,B1,24,1,24,17.2504177000,stimulus,
AG,AG027,B1,24,1,24,17.9734192002,tap,rctrl
AG,AG027,B1,25,1,25,18.0004324000,stimulus,
AG,AG027,B1,25,1,25,18.6933519999,tap,rctrl
AG,AG027,B1,26,1,26,18.7504472001,stimulus,
