# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG029', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Oct_02_1641', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94007190637435},
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG029,B1,1,1,1,0.0003083,stimulus,
AG,AG029,B1,2,1,2,0.7500924,stimulus,
AG,AG029,B1,2,1,2,1.1512826,tap,lctrl
AG,AG029,B1,3,1,3,1.5001009,stimulus,
AG,AG029,B1,3,1,3,1.5670788,tap,lctrl
AG,AG029,B1,3,1,3,2.1110277,tap,rctrl
AG,AG029,B1,4,1,4,2.250115,stimulus,
AG,AG029,B1,4,1,4,2.8790952,tap,lctrl
AG,AG029,B1,5,1,5,3.0001316,stimulus,
AG,AG029,B1,5,1,5,3.6631027,tap,rctrl
AG,AG029,B1,6,1,6,3.7501639,stimulus,
AG,AG029,B1,6,1,6,4.383002,tap,lctrl
AG,AG029,B1,7,1,7,4.5001595,stimulus,
AG,AG029,B1,7,1,7,5.1510955,tap,rctrl
AG,AG029,B1,8,1,8,5.2501748,stimulus,
AG,AG029,B1,8,1,8,5.9351568,tap,lctrl
AG,AG029,B1,9,1,9,6.0001938,stimulus,
AG,AG029,B1,9,1,9,6.6391234,tap,lctrl
AG,AG029,B1,10,1,10,6.7501982,stimulus,
AG,AG029,B1,10,1,10,7.3429843,tap,lctrl
AG,AG029,B1,11,1,11,7.5002091,stimulus,
AG,AG029,B1,11,1,11,8.1430824,tap,rctrl
AG,AG029,B1,12,1,12,8.2502296,stimulus,
AG,AG029,B1,12,1,12,8.9270377,tap,rctrl
AG,AG029,B1,13,1,13,9.0002347,stimulus,
AG,AG029,B1,13,1,13,9.6470812,tap,lctrl
AG,AG029,B1,14,1,14,9.7502535,stimulus,
AG,AG029,B1,14,1,14,10.4310606,tap,lctrl
AG,AG029,B1,15,1,15,10.5002641,stimulus,
AG,AG029,B1,16,1,16,11.2502907,stimulus,
AG,AG029,B1,16,1,16,11.3590655,tap,rctrl
AG,AG029,B1,16,1,16,11.9829788,tap,rctrl
AG,AG029,B1,17,1,17,12.0002917,stimulus,
AG,AG029,B1,17,1,17,12.7350654,tap,rctrl
AG,AG029,B1,18,1,18,12.7503068,stimulus,
AG,AG029,B1,18,1,18,13.422993,tap,lctrl
AG,AG029,B1,19,1,19,13.5003181,stimulus,
AG,AG029,B1,19,1,19,14.0791033,tap,lctrl
AG,AG029,B1,20,1,20,14.2503364,stimulus,
AG,AG029,B1,20,1,20,14.799044,tap,lctrl
AG,AG029,B1,21,1,21,15.0003599,stimulus,
AG,AG029,B1,21,1,21,15.5512237,tap,rctrl
AG,AG029,B1,22,1,22,15.7503709,stimulus,
AG,AG029,B1,22,1,22,16.2712002,tap,rctrl
AG,AG029,B1,23,1,23,16.5003816,stimulus,
AG,AG029,B1,23,1,23,17.0069894,tap,lctrl
AG,AG029,B1,24,1,24,17.250391,stimulus,
AG,AG029,B1,24,1,24,17.6950764,tap,lctrl
AG,AG029,B1,25,1,25,18.0004089,stimulus,
AG,AG029,B1,25,1,25,18.5910583,tap,rctrl
AG,AG029,B1,26,1,26,18.7504189,stimulus,
AG,AG029,B1,26,1,26,19.3430412,tap,lctrl
AG,AG029,B1,27,1,27,19.5004322,stimulus,
AG,AG029,B1,27,1,27,19.9831848,tap,lctrl
AG,AG029,B1,28,1,28,20.2504537,stimulus,
AG,AG029,B1,28,1,28,20.8310122,tap,rctrl
AG,AG029,B1,29,1,29,21.0004696,stimulus,
AG,AG029,B1,29,1,29,21.5190624,tap,rctrl
AG,AG029,B1,30,1,30,21.7504807,stimulus,
AG,AG029,B1,30,1,30,22.3989717,tap,rctrl
AG,AG029,B1,31,1,31,22.5004922,stimulus,
AG,AG029,B1,31,1,31,23.2310546,tap,lctrl
AG,AG029,B1,32,1,32,23.2505058,stimulus,
AG,AG029,B1,32,1,32,23.9670457,tap,lctrl
AG,AG029,B1,33,1,33,24.0005181,stimulus,
AG,AG029,B1,33,1,33,24.7030186,tap,lctrl
AG,AG029,B1,34,1,34,24.7505404,stimulus,
AG,AG029,B1,34,1,34,25.4549688,tap,lctrl
AG,AG029,B1,35,1,35,25.500542,stimulus,
AG,AG029,B1,35,1,35,26.1911477,tap,lctrl
AG,AG029,B1,36,1,36,26.2505741,stimulus,
AG,AG029,B1,36,1,36,26.9271106,tap,lctrl
AG,AG029,B1,37,1,37,27.0005721,stimulus,
AG,AG029,B1,37,1,37,27.6790593,tap,lctrl
AG,AG029,B1,38,1,38,27.7505811,stimulus,
AG,AG029,B1,38,1,38,28.4789708,tap,lctrl
AG,AG029,B1,39,1,39,28.5005933,stimulus,
AG,AG029,B1,39,1,39,29.1831403,tap,rctrl
AG,AG029,B1,40,1,40,29.2506062,stimulus,
AG,AG029,B1,40,1,40,29.9190781,tap,rctrl
AG,AG029,B1,41,1,41,30.0006255,stimulus,
AG,AG029,B1,41,1,41,30.6870132,tap,rctrl
AG,AG029,B1,42,1,42,30.7506371,stimulus,
AG,AG029,B1,42,1,42,31.4391203,tap,rctrl
AG,AG029,B1,43,1,43,31.5006513,stimulus,
AG,AG029,B1,43,1,43,32.1109958,tap,lctrl
AG,AG029,B1,44,1,44,32.2506636,stimulus,
AG,AG029,B1,44,1,44,32.87897,tap,rctrl
AG,AG029,B1,45,1,45,33.0006665,stimulus,
AG,AG029,B1,45,1,45,33.6311113,tap,lctrl
AG,AG029,B1,46,1,46,33.750688,stimulus,
AG,AG029,B1,46,1,46,34.4471717,tap,rctrl
AG,AG029,B1,47,1,47,34.5007165,stimulus,
AG,AG029,B1,47,1,47,35.2151131,tap,lctrl
AG,AG029,B1,48,1,48,35.2507222,stimulus,
AG,AG029,B1,48,1,48,35.9030402,tap,lctrl
AG,AG029,B1,49,1,49,36.0007532,stimulus,
AG,AG029,B1,49,1,49,36.6229968,tap,rctrl
AG,AG029,B1,50,1,50,36.7507457,stimulus,
AG,AG029,B1,50,1,50,37.3750716,tap,rctrl
AG,AG029,B1,51,1,51,37.5007558,stimulus,
AG,AG029,B1,51,1,51,38.2069861,tap,lctrl
AG,AG029,B1,52,1,52,38.2507655,stimulus,
AG,AG029,B1,52,1,52,38.9430078,tap,lctrl
AG,AG029,B1,53,1,53,39.0007777,stimulus,
AG,AG029,B1,53,1,53,39.599108,tap,rctrl
AG,AG029,B1,54,1,54,39.7508005,stimulus,
AG,AG029,B1,54,1,54,40.3831495,tap,rctrl
AG,AG029,B1,55,1,55,40.5008151,stimulus,
AG,AG029,B1,55,1,55,41.1831168,tap,rctrl
AG,AG029,B1,56,1,56,41.2508342,stimulus,
AG,AG029,B1,56,1,56,41.918969,tap,rctrl
AG,AG029,B1,57,1,57,42.000841,stimulus,
AG,AG029,B1,57,1,57,42.6390824,tap,rctrl
AG,AG029,B1,58,1,58,42.7508716,stimulus,
AG,AG029,B1,58,1,58,43.4230333,tap,rctrl
AG,AG029,B1,59,1,59,43.5008668,stimulus,
AG,AG029,B1,59,1,59,44.175088,tap,rctrl
AG,AG029,B1,60,1,60,44.2508805,stimulus,
AG,AG029,B1,60,1,60,44.863113,tap,lctrl
AG,AG029,B1,61,1,61,45.0009118,stimulus,
AG,AG029,B1,61,1,61,45.6950758,tap,rctrl
AG,AG029,B1,62,1,62,45.7509192,stimulus,
AG,AG029,B1,62,1,62,46.4470392,tap,lctrl
AG,AG029,B1,63,1,63,46.5009357,stimulus,
AG,AG029,B1,63,1,63,47.0869738,tap,lctrl
AG,AG029,B1,64,1,64,47.2509363,stimulus,
AG,AG029,B1,64,1,64,47.9030525,tap,rctrl
AG,AG029,B1,65,1,65,48.0009451,stimulus,
AG,AG029,B1,65,1,65,48.6870118,tap,rctrl
AG,AG029,B1,66,1,66,48.7509596,stimulus,
AG,AG029,B1,67,1,67,49.5009796,stimulus,
AG,AG029,B1,67,1,67,49.5029625,tap,lctrl
AG,AG029,B1,67,1,67,50.2389916,tap,lctrl
AG,AG029,B1,68,1,68,50.2509962,stimulus,
AG,AG029,B1,68,1,68,50.9909762,tap,lctrl
AG,AG029,B1,69,1,69,51.0009986,stimulus,
AG,AG029,B1,69,1,69,51.7110856,tap,lctrl
AG,AG029,B1,70,1,70,51.7510223,stimulus,
AG,AG029,B1,70,1,70,52.4470536,tap,lctrl
AG,AG029,B1,71,1,71,52.5010305,stimulus,
AG,AG029,B1,71,1,71,53.1989587,tap,lctrl
AG,AG029,B1,72,1,72,53.2510498,stimulus,
AG,AG029,B1,72,1,72,53.9670219,tap,rctrl
AG,AG029,B1,73,1,73,54.0010608,stimulus,
AG,AG029,B1,73,1,73,54.7030868,tap,rctrl
AG,AG029,B1,74,1,74,54.7510675,stimulus,
AG,AG029,B1,74,1,74,55.4069731,tap,rctrl
AG,AG029,B1,75,1,75,55.5010837,stimulus,
AG,AG029,B1,75,1,75,56.1909857,tap,rctrl
AG,AG029,B1,76,1,76,56.2511024,stimulus,
AG,AG029,B1,76,1,76,56.9109593,tap,rctrl
AG,AG029,B1,77,1,77,57.0011098,stimulus,
AG,AG029,B1,77,1,77,57.6149959,tap,rctrl
AG,AG029,B1,78,1,78,57.7511225,stimulus,
AG,AG029,B1,78,1,78,58.3030467,tap,rctrl
AG,AG029,B1,79,1,79,58.5011324,stimulus,
AG,AG029,B1,79,1,79,59.0070164,tap,lctrl
AG,AG029,B1,80,1,80,59.2511471,stimulus,
AG,AG029,B1,80,1,80,59.6950506,tap,lctrl
AG,AG029,B1,81,1,81,60.0011709,stimulus,
AG,AG029,B1,81,1,81,60.5590559,tap,lctrl
AG,AG029,B1,82,1,82,60.7511865,stimulus,
AG,AG029,B1,82,1,82,61.2949972,tap,lctrl
AG,AG029,B1,83,1,83,61.5012051,stimulus,
AG,AG029,B1,83,1,83,62.1110499,tap,lctrl
