# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG031', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Oct_17_1735', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.9472943004209}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG031,B1,1,1,1,0.0003040000,stimulus,
AG,AG031,B1,1,1,1,0.7450262001,tap,rctrl
AG,AG031,B1,2,1,2,0.7500917001,stimulus,
AG,AG031,B1,2,1,2,1.4649534000,tap,rctrl
AG,AG031,B1,3,1,3,1.5000889001,stimulus,
AG,AG031,B1,3,1,3,2.1690926000,tap,rctrl
AG,AG031,B1,4,1,4,2.2501117999,stimulus,
AG,AG031,B1,5,1,5,3.0001216000,stimulus,
AG,AG031,B1,5,1,5,3.0009923000,tap,rctrl
AG,AG031,B1,5,1,5,3.7210613000,tap,rctrl
AG,AG031,B1,6,1,6,3.7501510000,stimulus,
AG,AG031,B1,6,1,6,4.4409785999,tap,lctrl
AG,AG031,B1,7,1,7,4.5001555001,stimulus,
AG,AG031,B1,7,1,7,5.1609396001,tap,lctrl
AG,AG031,B1,8,1,8,5.2501703000,stimulus,
AG,AG031,B1,8,1,8,5.8809804001,tap,rctrl
AG,AG031,B1,9,1,9,6.0001836000,stimulus,
AG,AG031,B1,9,1,9,6.6811319001,tap,lctrl
AG,AG031,B1,10,1,10,6.7502033000,stimulus,
AG,AG031,B1,10,1,10,7.4010857001,tap,rctrl
AG,AG031,B1,11,1,11,7.5002159001,stimulus,
AG,AG031,B1,11,1,11,8.1209642000,tap,lctrl
AG,AG031,B1,12,1,12,8.2502256001,stimulus,
AG,AG031,B1,12,1,12,8.9050915001,tap,rctrl
AG,AG031,B1,13,1,13,9.0002528001,stimulus,
AG,AG031,B1,13,1,13,9.6730165000,tap,lctrl
AG,AG031,B1,14,1,14,9.7502557000,stimulus,
AG,AG031,B1,14,1,14,10.4570289000,tap,lctrl
AG,AG031,B1,15,1,15,10.5002681999,stimulus,
AG,AG031,B1,15,1,15,11.1609787000,tap,lctrl
AG,AG031,B1,16,1,16,11.2502834001,stimulus,
AG,AG031,B1,17,1,17,12.0002921000,stimulus,
AG,AG031,B1,17,1,17,12.0249429999,tap,lctrl
AG,AG031,B1,17,1,17,12.7449779001,tap,rctrl
AG,AG031,B1,18,1,18,12.7503094000,stimulus,
AG,AG031,B1,18,1,18,13.4489675001,tap,rctrl
AG,AG031,B1,19,1,19,13.5003283001,stimulus,
AG,AG031,B1,20,1,20,14.2503364000,stimulus,
AG,AG031,B1,20,1,20,14.2649453001,tap,lctrl
AG,AG031,B1,20,1,20,14.9529432000,tap,lctrl
AG,AG031,B1,21,1,21,15.0003547000,stimulus,
AG,AG031,B1,21,1,21,15.7209407999,tap,lctrl
AG,AG031,B1,22,1,22,15.7503732000,stimulus,
AG,AG031,B1,22,1,22,16.4729919001,tap,lctrl
AG,AG031,B1,23,1,23,16.5003841000,stimulus,
AG,AG031,B1,23,1,23,17.1769910001,tap,rctrl
AG,AG031,B1,24,1,24,17.2503969001,stimulus,
AG,AG031,B1,24,1,24,17.8649613999,tap,rctrl
AG,AG031,B1,25,1,25,18.0004187999,stimulus,
AG,AG031,B1,25,1,25,18.6330343001,tap,lctrl
AG,AG031,B1,26,1,26,18.7504364001,stimulus,
AG,AG031,B1,26,1,26,19.3690418000,tap,lctrl
AG,AG031,B1,27,1,27,19.5004409000,stimulus,
AG,AG031,B1,27,1,27,20.1209669001,tap,lctrl
AG,AG031,B1,28,1,28,20.2504613001,stimulus,
AG,AG031,B1,28,1,28,20.8250440999,tap,lctrl
AG,AG031,B1,29,1,29,21.0004773000,stimulus,
AG,AG031,B1,29,1,29,21.6090764001,tap,lctrl
AG,AG031,B1,30,1,30,21.7504879001,stimulus,
AG,AG031,B1,30,1,30,22.3929375000,tap,lctrl
AG,AG031,B1,31,1,31,22.5004980001,stimulus,
AG,AG031,B1,31,1,31,23.1290197000,tap,lctrl
AG,AG031,B1,32,1,32,23.2505097999,stimulus,
AG,AG031,B1,32,1,32,23.8330608001,tap,lctrl
AG,AG031,B1,33,1,33,24.0005346001,stimulus,
AG,AG031,B1,33,1,33,24.5530103000,tap,lctrl
AG,AG031,B1,34,1,34,24.7505619000,stimulus,
AG,AG031,B1,34,1,34,25.3849633001,tap,lctrl
AG,AG031,B1,35,1,35,25.5005609000,stimulus,
AG,AG031,B1,35,1,35,26.2009828000,tap,rctrl
AG,AG031,B1,36,1,36,26.2505733999,stimulus,
AG,AG031,B1,36,1,36,26.9530129000,tap,rctrl
AG,AG031,B1,37,1,37,27.0005870000,stimulus,
AG,AG031,B1,37,1,37,27.6889216001,tap,lctrl
AG,AG031,B1,38,1,38,27.7506029001,stimulus,
AG,AG031,B1,38,1,38,28.3770611000,tap,lctrl
AG,AG031,B1,39,1,39,28.5006531000,stimulus,
AG,AG031,B1,39,1,39,29.1130563000,tap,lctrl
AG,AG031,B1,40,1,40,29.2506421001,stimulus,
AG,AG031,B1,40,1,40,29.8649301999,tap,lctrl
AG,AG031,B1,41,1,41,30.0006580001,stimulus,
AG,AG031,B1,41,1,41,30.6809556000,tap,rctrl
AG,AG031,B1,42,1,42,30.7506778000,stimulus,
AG,AG031,B1,42,1,42,31.3850325001,tap,rctrl
AG,AG031,B1,43,1,43,31.5007064000,stimulus,
AG,AG031,B1,43,1,43,32.1369761999,tap,rctrl
AG,AG031,B1,44,1,44,32.2507061001,stimulus,
AG,AG031,B1,44,1,44,32.8570505001,tap,lctrl
AG,AG031,B1,45,1,45,33.0007180001,stimulus,
AG,AG031,B1,45,1,45,33.6089902001,tap,lctrl
AG,AG031,B1,46,1,46,33.7507390999,stimulus,
AG,AG031,B1,46,1,46,34.3769332999,tap,lctrl
AG,AG031,B1,47,1,47,34.5007418999,stimulus,
AG,AG031,B1,47,1,47,35.1289269000,tap,rctrl
AG,AG031,B1,48,1,48,35.2507573999,stimulus,
AG,AG031,B1,48,1,48,35.8330433001,tap,rctrl
AG,AG031,B1,49,1,49,36.0007718001,stimulus,
AG,AG031,B1,49,1,49,36.5529247001,tap,lctrl
AG,AG031,B1,50,1,50,36.7507797000,stimulus,
AG,AG031,B1,50,1,50,37.3049693999,tap,lctrl
AG,AG031,B1,51,1,51,37.5007939001,stimulus,
AG,AG031,B1,51,1,51,38.1050616000,tap,lctrl
AG,AG031,B1,52,1,52,38.2508095000,stimulus,
AG,AG031,B1,52,1,52,38.8729826000,tap,rctrl
AG,AG031,B1,53,1,53,39.0008334999,stimulus,
AG,AG031,B1,53,1,53,39.6089650001,tap,lctrl
AG,AG031,B1,54,1,53,44.4185250001,probe1,2
AG,AG031,B1,54,1,53,60.8479427001,probe2,2
AG,AG031,B1,54,1,53,67.9374867000,probe3,3
AG,AG031,B1,55,2,1,68.7050101000,stimulus,
AG,AG031,B1,55,2,1,68.9210660001,tap,rctrl
AG,AG031,B1,55,2,1,69.4488953000,tap,rctrl
AG,AG031,B1,56,2,2,69.4548132000,stimulus,
AG,AG031,B1,56,2,2,70.1209078999,tap,rctrl
AG,AG031,B1,57,2,3,70.2048269999,stimulus,
AG,AG031,B1,57,2,3,70.8570379000,tap,lctrl
AG,AG031,B1,58,2,4,70.9548544001,stimulus,
AG,AG031,B1,58,2,4,71.6250064000,tap,lctrl
AG,AG031,B1,59,2,5,71.7048470001,stimulus,
AG,AG031,B1,59,2,5,72.3609288000,tap,lctrl
AG,AG031,B1,60,2,6,72.4548607999,stimulus,
AG,AG031,B1,60,2,6,73.0649411001,tap,lctrl
AG,AG031,B1,61,2,7,73.2048833000,stimulus,
AG,AG031,B1,61,2,7,73.7849352001,tap,lctrl
AG,AG031,B1,62,2,8,73.9548957001,stimulus,
AG,AG031,B1,62,2,8,74.5849777001,tap,lctrl
AG,AG031,B1,63,2,9,74.7049117000,stimulus,
AG,AG031,B1,63,2,9,75.2728971001,tap,lctrl
AG,AG031,B1,64,2,10,75.4549223999,stimulus,
AG,AG031,B1,64,2,10,76.0570216000,tap,lctrl
AG,AG031,B1,65,2,11,76.2049460001,stimulus,
AG,AG031,B1,65,2,11,76.7930249001,tap,lctrl
AG,AG031,B1,66,2,12,76.9549602000,stimulus,
AG,AG031,B1,66,2,12,77.5289815001,tap,lctrl
AG,AG031,B1,67,2,13,77.7049746001,stimulus,
AG,AG031,B1,67,2,13,78.3130223001,tap,lctrl
AG,AG031,B1,68,2,14,78.4549843001,stimulus,
AG,AG031,B1,68,2,14,79.0808938001,tap,lctrl
AG,AG031,B1,69,2,15,79.2049999000,stimulus,
AG,AG031,B1,69,2,15,79.8168997001,tap,lctrl
AG,AG031,B1,70,2,16,79.9550141001,stimulus,
AG,AG031,B1,70,2,16,80.6169154001,tap,rctrl
AG,AG031,B1,71,2,17,80.7050318001,stimulus,
AG,AG031,B1,71,2,17,81.3529697000,tap,rctrl
AG,AG031,B1,72,2,18,81.4550526000,stimulus,
AG,AG031,B1,72,2,18,82.0569327001,tap,lctrl
AG,AG031,B1,73,2,19,82.2050443999,stimulus,
AG,AG031,B1,73,2,19,82.7929807000,tap,rctrl
AG,AG031,B1,74,2,20,82.9550629000,stimulus,
AG,AG031,B1,74,2,20,83.5449174000,tap,rctrl
AG,AG031,B1,75,2,21,83.7050802000,stimulus,
AG,AG031,B1,75,2,21,84.3128895999,tap,rctrl
AG,AG031,B1,76,2,22,84.4550909000,stimulus,
AG,AG031,B1,76,2,22,85.0169422000,tap,rctrl
AG,AG031,B1,77,2,23,85.2051086000,stimulus,
AG,AG031,B1,77,2,23,85.7850199000,tap,lctrl
AG,AG031,B1,78,2,24,85.9551303000,stimulus,
AG,AG031,B1,78,2,24,86.5689431001,tap,lctrl
AG,AG031,B1,79,2,25,86.7051429001,stimulus,
AG,AG031,B1,79,2,25,87.3369635001,tap,lctrl
AG,AG031,B1,80,2,26,87.4551547000,stimulus,
AG,AG031,B1,80,2,26,88.0889562001,tap,rctrl
AG,AG031,B1,81,2,27,88.2051709001,stimulus,
AG,AG031,B1,81,2,27,88.8408824999,tap,rctrl
AG,AG031,B1,82,2,28,88.9551796999,stimulus,
AG,AG031,B1,82,2,28,89.5608719999,tap,rctrl
AG,AG031,B1,83,2,29,89.7052069001,stimulus,
AG,AG031,B1,83,2,29,90.3450533999,tap,lctrl
AG,AG031,B1,84,2,30,90.4552184001,stimulus,
AG,AG031,B1,84,2,30,91.0969452001,tap,rctrl
AG,AG031,B1,85,2,31,91.2052422999,stimulus,
AG,AG031,B1,85,2,31,91.8809747000,tap,lctrl
AG,AG031,B1,86,2,32,91.9552504001,stimulus,
AG,AG031,B1,86,2,32,92.6168764001,tap,rctrl
AG,AG031,B1,87,2,33,92.7052630000,stimulus,
AG,AG031,B1,87,2,33,93.4328874000,tap,lctrl
AG,AG031,B1,88,2,34,93.4552718999,stimulus,
AG,AG031,B1,88,2,34,94.1369541001,tap,lctrl
AG,AG031,B1,89,2,35,94.2052879999,stimulus,
AG,AG031,B1,89,2,35,94.9049490001,tap,lctrl
AG,AG031,B1,90,2,36,94.9553018999,stimulus,
AG,AG031,B1,90,2,36,95.5928734001,tap,lctrl
AG,AG031,B1,91,2,37,95.7053212000,stimulus,
AG,AG031,B1,91,2,37,96.3609782001,tap,lctrl
AG,AG031,B1,92,2,38,96.4553334001,stimulus,
AG,AG031,B1,92,2,38,97.1129525001,tap,rctrl
AG,AG031,B1,93,2,39,97.2053461999,stimulus,
AG,AG031,B1,93,2,39,97.8330023000,tap,lctrl
AG,AG031,B1,94,2,40,97.9553584000,stimulus,
AG,AG031,B1,94,2,40,98.5688787000,tap,lctrl
AG,AG031,B1,95,2,41,98.7053753000,stimulus,
AG,AG031,B1,95,2,41,99.3689639000,tap,rctrl
AG,AG031,B1,96,2,42,99.4553924000,stimulus,
AG,AG031,B1,96,2,42,100.1209462001,tap,lctrl
AG,AG031,B1,97,2,43,100.2054150000,stimulus,
AG,AG031,B1,97,2,43,100.8409277000,tap,lctrl
AG,AG031,B1,98,2,44,100.9554329000,stimulus,
AG,AG031,B1,98,2,44,101.6089336001,tap,lctrl
AG,AG031,B1,99,2,45,101.7054338001,stimulus,
AG,AG031,B1,99,2,45,102.3770045000,tap,lctrl
AG,AG031,B1,100,2,46,102.4554437001,stimulus,
AG,AG031,B1,100,2,46,103.1129636001,tap,lctrl
AG,AG031,B1,101,2,47,103.2054591000,stimulus,
AG,AG031,B1,101,2,47,103.8971647001,tap,lctrl
AG,AG031,B1,102,2,48,103.9554959000,stimulus,
AG,AG031,B1,102,2,48,104.6330313999,tap,lctrl
AG,AG031,B1,103,2,49,104.7054965000,stimulus,
AG,AG031,B1,103,2,49,105.3529117999,tap,lctrl
AG,AG031,B1,104,2,50,105.4555025001,stimulus,
AG,AG031,B1,104,2,50,106.1209621001,tap,lctrl
AG,AG031,B1,105,2,51,106.2055343001,stimulus,
AG,AG031,B1,105,2,51,106.8889363001,tap,rctrl
AG,AG031,B1,106,2,52,106.9555313000,stimulus,
AG,AG031,B1,106,2,52,107.6249470999,tap,lctrl
AG,AG031,B1,107,2,53,107.7055490001,stimulus,
AG,AG031,B1,107,2,53,108.3768807000,tap,lctrl
AG,AG031,B1,108,2,54,108.4555633999,stimulus,
AG,AG031,B1,108,2,54,109.0969163000,tap,rctrl
