# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG037', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Nov_03_1602', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.941904226918105}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG037,B1,1,1,1,0.0002636001,stimulus,
AG,AG037,B1,1,1,1,0.4978355998,tap,rctrl
AG,AG037,B1,2,1,2,0.7501162998,stimulus,
AG,AG037,B1,2,1,2,1.3298565000,tap,rctrl
AG,AG037,B1,3,1,3,1.5001233998,stimulus,
AG,AG037,B1,3,1,3,2.1939405999,tap,rctrl
AG,AG037,B1,4,1,4,2.2501268000,stimulus,
AG,AG037,B1,4,1,4,2.9619279001,tap,rctrl
AG,AG037,B1,5,1,5,3.0001474000,stimulus,
AG,AG037,B1,5,1,5,3.7299128999,tap,rctrl
AG,AG037,B1,6,1,6,3.7501699999,stimulus,
AG,AG037,B1,6,1,6,4.4978582999,tap,lctrl
AG,AG037,B1,7,1,7,4.5001627998,stimulus,
AG,AG037,B1,8,1,8,5.2502012001,stimulus,
AG,AG037,B1,8,1,8,5.3778737001,tap,lctrl
AG,AG037,B1,9,1,9,6.0002171001,stimulus,
AG,AG037,B1,9,1,9,6.0338878999,tap,rctrl
AG,AG037,B1,10,1,10,6.7502306998,stimulus,
AG,AG037,B1,10,1,10,6.8658492002,tap,rctrl
AG,AG037,B1,11,1,11,7.5002449998,stimulus,
AG,AG037,B1,11,1,11,7.6018392001,tap,rctrl
AG,AG037,B1,11,1,11,8.2099001999,tap,lctrl
AG,AG037,B1,12,1,12,8.2502444000,stimulus,
AG,AG037,B1,12,1,12,8.9298812002,tap,lctrl
AG,AG037,B1,13,1,13,9.0002688998,stimulus,
AG,AG037,B1,13,1,13,9.6338657001,tap,lctrl
AG,AG037,B1,14,1,14,9.7502811998,stimulus,
AG,AG037,B1,14,1,14,10.3859116002,tap,rctrl
AG,AG037,B1,15,1,15,10.5002998998,stimulus,
AG,AG037,B1,15,1,15,11.1859066002,tap,lctrl
AG,AG037,B1,16,1,16,11.2503054999,stimulus,
AG,AG037,B1,16,1,16,11.9379437999,tap,rctrl
AG,AG037,B1,17,1,17,12.0003236001,stimulus,
AG,AG037,B1,17,1,17,12.6098448001,tap,lctrl
AG,AG037,B1,18,1,18,12.7503387998,stimulus,
AG,AG037,B1,18,1,18,13.4578971998,tap,rctrl
AG,AG037,B1,19,1,19,13.5003574002,stimulus,
AG,AG037,B1,19,1,19,14.2099203998,tap,lctrl
AG,AG037,B1,20,1,20,14.2503681998,stimulus,
AG,AG037,B1,20,1,20,14.9458397999,tap,lctrl
AG,AG037,B1,21,1,21,15.0003954000,stimulus,
AG,AG037,B1,22,1,22,15.7504003998,stimulus,
AG,AG037,B1,22,1,22,16.0338658998,tap,rctrl
AG,AG037,B1,23,1,23,16.5004175999,stimulus,
AG,AG037,B1,23,1,23,16.5458371001,tap,rctrl
AG,AG037,B1,23,1,23,17.2018777998,tap,lctrl
AG,AG037,B1,24,1,24,17.2504281998,stimulus,
AG,AG037,B1,24,1,24,17.9058625000,tap,rctrl
AG,AG037,B1,25,1,25,18.0004479000,stimulus,
AG,AG037,B1,25,1,25,18.6259124000,tap,lctrl
AG,AG037,B1,26,1,26,18.7504631002,stimulus,
AG,AG037,B1,26,1,26,19.3618085999,tap,rctrl
AG,AG037,B1,27,1,27,19.5004834002,stimulus,
AG,AG037,B1,27,1,27,20.2098384998,tap,lctrl
AG,AG037,B1,28,1,28,20.2505045999,stimulus,
AG,AG037,B1,28,1,28,20.9618286998,tap,lctrl
AG,AG037,B1,29,1,29,21.0005219001,stimulus,
AG,AG037,B1,29,1,29,21.7139003002,tap,lctrl
AG,AG037,B1,30,1,30,21.7505568000,stimulus,
AG,AG037,B1,30,1,30,22.4499904998,tap,rctrl
AG,AG037,B1,31,1,31,22.5005684001,stimulus,
AG,AG037,B1,31,1,31,23.1858735001,tap,rctrl
AG,AG037,B1,32,1,32,23.2505715000,stimulus,
AG,AG037,B1,32,1,32,23.8418284999,tap,lctrl
AG,AG037,B1,33,1,33,24.0005954001,stimulus,
AG,AG037,B1,33,1,33,24.6098801000,tap,lctrl
AG,AG037,B1,34,1,34,24.7506125001,stimulus,
AG,AG037,B1,34,1,34,25.2980350000,tap,rctrl
AG,AG037,B1,35,1,35,25.5006247000,stimulus,
AG,AG037,B1,35,1,35,26.0978672998,tap,lctrl
AG,AG037,B1,36,1,36,26.2506411001,stimulus,
AG,AG037,B1,36,1,36,26.8659009999,tap,rctrl
AG,AG037,B1,37,1,37,27.0006579999,stimulus,
AG,AG037,B1,37,1,37,27.6019175001,tap,lctrl
AG,AG037,B1,38,1,38,27.7506702999,stimulus,
AG,AG037,B1,38,1,38,28.3539151000,tap,rctrl
AG,AG037,B1,39,1,39,28.5006844001,stimulus,
AG,AG037,B1,39,1,39,29.1379157999,tap,lctrl
AG,AG037,B1,40,1,40,29.2507051001,stimulus,
AG,AG037,B1,40,1,40,29.9378404999,tap,rctrl
AG,AG037,B1,41,1,41,30.0007213000,stimulus,
AG,AG037,B1,41,1,41,30.6418972998,tap,rctrl
AG,AG037,B1,42,1,42,30.7507317001,stimulus,
AG,AG037,B1,42,1,42,31.3458517999,tap,lctrl
AG,AG037,B1,43,1,43,31.5007539000,stimulus,
AG,AG037,B1,43,1,43,32.1138283000,tap,rctrl
AG,AG037,B1,44,1,44,32.2507728999,stimulus,
AG,AG037,B1,44,1,44,32.9138691002,tap,lctrl
AG,AG037,B1,45,1,45,33.0007851999,stimulus,
AG,AG037,B1,45,1,45,33.6498714001,tap,lctrl
AG,AG037,B1,46,1,46,33.7507914999,stimulus,
AG,AG037,B1,46,1,46,34.4338441002,tap,rctrl
AG,AG037,B1,47,1,47,34.5008180002,stimulus,
AG,AG037,B1,47,1,47,35.1700360999,tap,rctrl
AG,AG037,B1,48,1,48,35.2508387999,stimulus,
AG,AG037,B1,48,1,48,35.9378375998,tap,lctrl
AG,AG037,B1,49,1,49,36.0008417000,stimulus,
AG,AG037,B1,49,1,49,36.6738940999,tap,lctrl
AG,AG037,B1,50,1,50,36.7508719000,stimulus,
AG,AG037,B1,50,1,50,37.4258486000,tap,rctrl
AG,AG037,B1,51,1,51,37.5008724001,stimulus,
AG,AG037,B1,51,1,51,38.2098273998,tap,lctrl
AG,AG037,B1,52,1,51,45.4837329998,probe1,1
AG,AG037,B1,52,1,51,52.7230834998,probe2,0
AG,AG037,B1,52,1,51,56.4100913000,probe3,0
AG,AG037,B1,53,2,1,57.1782184001,stimulus,
AG,AG037,B1,53,2,1,57.2178206001,tap,rctrl
AG,AG037,B1,53,2,1,57.8258952000,tap,rctrl
AG,AG037,B1,54,2,2,57.9282029001,stimulus,
AG,AG037,B1,54,2,2,58.5778207998,tap,lctrl
AG,AG037,B1,55,2,3,58.6781949000,stimulus,
AG,AG037,B1,55,2,3,59.3458321001,tap,lctrl
AG,AG037,B1,56,2,4,59.4282121002,stimulus,
AG,AG037,B1,56,2,4,60.1458895002,tap,lctrl
AG,AG037,B1,57,2,5,60.1782157999,stimulus,
AG,AG037,B1,57,2,5,60.8818334998,tap,rctrl
AG,AG037,B1,58,2,6,60.9282320002,stimulus,
AG,AG037,B1,58,2,6,61.6338756001,tap,rctrl
AG,AG037,B1,59,2,7,61.6782498001,stimulus,
AG,AG037,B1,59,2,7,62.3377987002,tap,lctrl
AG,AG037,B1,60,2,8,62.4282669001,stimulus,
AG,AG037,B1,60,2,8,63.0898759998,tap,lctrl
AG,AG037,B1,61,2,9,63.1782815000,stimulus,
AG,AG037,B1,61,2,9,63.8258317998,tap,rctrl
AG,AG037,B1,62,2,10,63.9282872998,stimulus,
AG,AG037,B1,62,2,10,64.5297896001,tap,rctrl
AG,AG037,B1,63,2,11,64.6783035002,stimulus,
AG,AG037,B1,63,2,11,65.2978244000,tap,lctrl
AG,AG037,B1,64,2,12,65.4283173000,stimulus,
AG,AG037,B1,64,2,12,66.0818363000,tap,lctrl
AG,AG037,B1,65,2,13,66.1783246002,stimulus,
AG,AG037,B1,65,2,13,66.8817746001,tap,rctrl
AG,AG037,B1,66,2,14,66.9283440001,stimulus,
AG,AG037,B1,66,2,14,67.5538486000,tap,rctrl
AG,AG037,B1,67,2,15,67.6783550000,stimulus,
AG,AG037,B1,67,2,15,68.3218092998,tap,lctrl
AG,AG037,B1,68,2,16,68.4283798002,stimulus,
AG,AG037,B1,68,2,16,69.0898965001,tap,lctrl
AG,AG037,B1,69,2,17,69.1783928000,stimulus,
AG,AG037,B1,70,2,18,69.9284138000,stimulus,
AG,AG037,B1,70,2,18,69.9379254999,tap,lctrl
AG,AG037,B1,70,2,18,70.6418325999,tap,rctrl
AG,AG037,B1,71,2,19,70.6784126000,stimulus,
AG,AG037,B1,71,2,19,71.3617913998,tap,rctrl
AG,AG037,B1,72,2,20,71.4284433001,stimulus,
AG,AG037,B1,72,2,20,72.0818336001,tap,rctrl
AG,AG037,B1,73,2,21,72.1784592001,stimulus,
AG,AG037,B1,73,2,21,72.8018434001,tap,lctrl
AG,AG037,B1,74,2,22,72.9284752002,stimulus,
AG,AG037,B1,74,2,22,73.5218189000,tap,lctrl
AG,AG037,B1,75,2,23,73.6784927002,stimulus,
AG,AG037,B1,75,2,23,74.2898959001,tap,rctrl
AG,AG037,B1,76,2,24,74.4285082002,stimulus,
AG,AG037,B1,76,2,24,75.0418249001,tap,rctrl
AG,AG037,B1,77,2,25,75.1785276001,stimulus,
AG,AG037,B1,77,2,25,75.8258175999,tap,lctrl
AG,AG037,B1,78,2,26,75.9285392999,stimulus,
AG,AG037,B1,78,2,26,76.5778700002,tap,lctrl
AG,AG037,B1,79,2,27,76.6785574001,stimulus,
AG,AG037,B1,79,2,27,77.3458161000,tap,rctrl
AG,AG037,B1,80,2,28,77.4285539002,stimulus,
AG,AG037,B1,80,2,28,78.1138681998,tap,rctrl
AG,AG037,B1,81,2,29,78.1785782999,stimulus,
AG,AG037,B1,81,2,29,78.7699297001,tap,lctrl
AG,AG037,B1,82,2,30,78.9285907000,stimulus,
AG,AG037,B1,82,2,30,79.6338632000,tap,lctrl
AG,AG037,B1,83,2,31,79.6786226002,stimulus,
AG,AG037,B1,83,2,31,80.3380094999,tap,lctrl
AG,AG037,B1,84,2,32,80.4286298002,stimulus,
AG,AG037,B1,84,2,32,81.0738140000,tap,lctrl
AG,AG037,B1,85,2,33,81.1786453002,stimulus,
AG,AG037,B1,85,2,33,81.8418200999,tap,rctrl
AG,AG037,B1,86,2,34,81.9286504998,stimulus,
AG,AG037,B1,86,2,34,82.6098310002,tap,rctrl
AG,AG037,B1,87,2,35,82.6786781000,stimulus,
AG,AG037,B1,87,2,35,83.3617735999,tap,rctrl
AG,AG037,B1,88,2,36,83.4286815999,stimulus,
AG,AG037,B1,88,2,36,84.1298642000,tap,lctrl
AG,AG037,B1,89,2,37,84.1786985002,stimulus,
AG,AG037,B1,89,2,37,84.8658273001,tap,lctrl
AG,AG037,B1,90,2,38,84.9287132998,stimulus,
AG,AG037,B1,90,2,38,85.6178591000,tap,lctrl
AG,AG037,B1,91,2,39,85.6787377000,stimulus,
AG,AG037,B1,91,2,39,86.4178097001,tap,rctrl
AG,AG037,B1,92,2,40,86.4287457000,stimulus,
AG,AG037,B1,92,2,40,87.1538073998,tap,rctrl
AG,AG037,B1,93,2,41,87.1787659000,stimulus,
AG,AG037,B1,93,2,41,87.9057924999,tap,lctrl
AG,AG037,B1,94,2,42,87.9287795001,stimulus,
AG,AG037,B1,94,2,42,88.6578350002,tap,rctrl
AG,AG037,B1,95,2,43,88.6787912999,stimulus,
AG,AG037,B1,95,2,43,89.2978412001,tap,lctrl
AG,AG037,B1,96,2,44,89.4288100000,stimulus,
AG,AG037,B1,96,2,44,90.0498444000,tap,rctrl
AG,AG037,B1,97,2,45,90.1788523998,stimulus,
AG,AG037,B1,97,2,45,90.8818168999,tap,lctrl
AG,AG037,B1,98,2,46,90.9288510000,stimulus,
AG,AG037,B1,98,2,46,91.6337962002,tap,rctrl
AG,AG037,B1,99,2,47,91.6788581000,stimulus,
AG,AG037,B1,100,2,48,92.4288828000,stimulus,
AG,AG037,B1,100,2,48,92.4338059998,tap,rctrl
AG,AG037,B1,100,2,48,93.1057803002,tap,lctrl
AG,AG037,B1,101,2,49,93.1788865998,stimulus,
AG,AG037,B1,101,2,49,93.8577971002,tap,lctrl
AG,AG037,B1,102,2,50,93.9289154001,stimulus,
AG,AG037,B1,102,2,50,94.6578658000,tap,rctrl
AG,AG037,B1,103,2,51,94.6789254998,stimulus,
AG,AG037,B1,103,2,51,95.3777982998,tap,rctrl
AG,AG037,B1,104,2,52,95.4289468001,stimulus,
AG,AG037,B1,104,2,52,96.1618328001,tap,lctrl
