# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG038', 'Session': 'S1', 'Block': 'B1', 'date': '2023_Jan_16_1529', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.957897648523534}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG038,B1,1,1,1,0.0003046999,stimulus,
AG,AG038,B1,1,1,1,0.3213764997,tap,rctrl
AG,AG038,B1,2,1,2,0.7501125000,stimulus,
AG,AG038,B1,2,1,2,0.9133091997,tap,rctrl
AG,AG038,B1,3,1,3,1.5001231004,stimulus,
AG,AG038,B1,3,1,3,1.5053936997,tap,rctrl
AG,AG038,B1,3,1,3,2.2254945002,tap,rctrl
AG,AG038,B1,4,1,4,2.2501243996,stimulus,
AG,AG038,B1,4,1,4,2.9453709004,tap,rctrl
AG,AG038,B1,5,1,5,3.0001395000,stimulus,
AG,AG038,B1,5,1,5,3.6813781997,tap,rctrl
AG,AG038,B1,6,1,6,3.7501550000,stimulus,
AG,AG038,B1,6,1,6,4.3853299003,tap,rctrl
AG,AG038,B1,7,1,7,4.5001750998,stimulus,
AG,AG038,B1,7,1,7,5.1693091001,tap,rctrl
AG,AG038,B1,8,1,8,5.2501822002,stimulus,
AG,AG038,B1,8,1,8,5.9373732004,tap,lctrl
AG,AG038,B1,9,1,9,6.0001939004,stimulus,
AG,AG038,B1,9,1,9,6.7053468004,tap,lctrl
AG,AG038,B1,10,1,10,6.7502105003,stimulus,
AG,AG038,B1,10,1,10,7.4253607998,tap,lctrl
AG,AG038,B1,11,1,11,7.5002284003,stimulus,
AG,AG038,B1,12,1,12,8.2502528001,stimulus,
AG,AG038,B1,12,1,12,8.2573360996,tap,lctrl
AG,AG038,B1,12,1,12,8.9134459002,tap,rctrl
AG,AG038,B1,13,1,13,9.0002544001,stimulus,
AG,AG038,B1,13,1,13,9.6334578004,tap,rctrl
AG,AG038,B1,14,1,14,9.7502722004,stimulus,
AG,AG038,B1,14,1,14,10.4653796004,tap,rctrl
AG,AG038,B1,15,1,15,10.5002792003,stimulus,
AG,AG038,B1,15,1,15,11.1373392995,tap,rctrl
AG,AG038,B1,16,1,16,11.2502969997,stimulus,
AG,AG038,B1,16,1,16,11.8733679997,tap,lctrl
AG,AG038,B1,17,1,17,12.0003167000,stimulus,
AG,AG038,B1,17,1,17,12.6733991997,tap,lctrl
AG,AG038,B1,18,1,18,12.7503278004,stimulus,
AG,AG038,B1,18,1,18,13.4733865000,tap,lctrl
AG,AG038,B1,19,1,19,13.5003389996,stimulus,
AG,AG038,B1,19,1,19,14.1613488998,tap,lctrl
AG,AG038,B1,20,1,20,14.2503618002,stimulus,
AG,AG038,B1,20,1,20,14.8173444001,tap,rctrl
AG,AG038,B1,21,1,21,15.0003779996,stimulus,
AG,AG038,B1,21,1,21,15.6654551001,tap,rctrl
AG,AG038,B1,22,1,22,15.7503888998,stimulus,
AG,AG038,B1,22,1,22,16.3854264999,tap,rctrl
AG,AG038,B1,23,1,23,16.5003961995,stimulus,
AG,AG038,B1,23,1,23,17.1213795003,tap,rctrl
AG,AG038,B1,24,1,24,17.2504361002,stimulus,
AG,AG038,B1,24,1,24,17.8733781995,tap,lctrl
