# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG040', 'Session': 'S2', 'Block': 'B1', 'date': '2023_Feb_15_1637', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94287432678476}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG040,B1,1,1,1,0.0003483007,stimulus,
AG,AG040,B1,1,1,1,0.1961228000,tap,rctrl
AG,AG040,B1,1,1,1,0.6121343002,tap,rctrl
AG,AG040,B1,2,1,2,0.7501116004,stimulus,
AG,AG040,B1,2,1,2,1.2681558998,tap,rctrl
AG,AG040,B1,3,1,3,1.5001404006,stimulus,
AG,AG040,B1,3,1,3,2.1321188007,tap,rctrl
AG,AG040,B1,4,1,4,2.2501478000,stimulus,
AG,AG040,B1,4,1,4,2.8521695007,tap,rctrl
AG,AG040,B1,5,1,5,3.0001608999,stimulus,
AG,AG040,B1,5,1,5,3.6202852000,tap,rctrl
AG,AG040,B1,6,1,6,3.7501976006,stimulus,
AG,AG040,B1,6,1,6,4.4041331001,tap,lctrl
AG,AG040,B1,7,1,7,4.5002108002,stimulus,
AG,AG040,B1,7,1,7,5.2041557999,tap,lctrl
AG,AG040,B1,8,1,8,5.2502263999,stimulus,
AG,AG040,B1,8,1,8,5.9561410006,tap,lctrl
AG,AG040,B1,9,1,9,6.0002389001,stimulus,
AG,AG040,B1,9,1,9,6.6121533001,tap,lctrl
AG,AG040,B1,10,1,10,6.7502644006,stimulus,
AG,AG040,B1,10,1,10,7.2521561002,tap,rctrl
AG,AG040,B1,11,1,11,7.5002805004,stimulus,
AG,AG040,B1,11,1,11,8.1001760000,tap,rctrl
AG,AG040,B1,12,1,12,8.2502931003,stimulus,
AG,AG040,B1,12,1,12,8.7881666999,tap,lctrl
AG,AG040,B1,13,1,13,9.0002982998,stimulus,
AG,AG040,B1,13,1,13,9.5721360007,tap,rctrl
AG,AG040,B1,14,1,14,9.7503098007,stimulus,
AG,AG040,B1,14,1,14,10.3241442004,tap,rctrl
AG,AG040,B1,15,1,15,10.5003286004,stimulus,
AG,AG040,B1,15,1,15,11.0920900004,tap,rctrl
AG,AG040,B1,16,1,16,11.2503452003,stimulus,
